,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,average
bert-small_100_3,0.0,0.34426897605705553,0.7480253018237863,0.5030203185063152,0.3313470908161768,0.47653429602888087,0.5137614678899083,0.00430337753370548,0.5492957746478874,0.3856174003670796
bert-small_35_1,0.0,0.34966887417218545,0.7480253018237863,0.5085118066996156,0.5492708584853139,0.4981949458483754,0.5034403669724771,0.030979251063769867,0.5070422535211268,0.41057040650962784
bert-small_19_2,0.0,0.36006113092205805,0.7480253018237863,0.5260845689181768,0.6011664090669523,0.5270758122743683,0.5940366972477065,-0.015157550715453674,0.5774647887323944,0.43541746202999876
bert-small_100_2,0.0,0.3418237391747326,0.7480253018237863,0.5094270547318324,0.3507155246347502,0.48014440433212996,0.5126146788990825,0.047272068389255704,0.4225352112676056,0.3791731092503528
bert-small_100_1,0.0,0.34294447274579726,0.7480253018237863,0.5145524437122461,0.3170387563558308,0.45126353790613716,0.5149082568807339,-0.021047606704262103,0.39436619718309857,0.36245015110037415
bert-small_35_3,0.0,0.33428425878757007,0.7480253018237863,0.5158337909573495,0.551158507712183,0.4620938628158845,0.5389908256880734,-0.02191062656687294,0.5492957746478874,0.40864129954065126
bert-small_19_1,0.0,0.37514009169638307,0.7480253018237863,0.5370675453047776,0.5998531089997261,0.48736462093862815,0.5573394495412844,-0.040027305185739784,0.4084507042253521,0.4081348352604664
bert-small_19_3,0.0,0.3790117167600611,0.7480253018237863,0.5183964854475562,0.5995645544966564,0.47653429602888087,0.6020642201834863,0.03789094276975441,0.6197183098591549,0.4423562030410374
bert-small_35_2,0.0,0.3568008150789608,0.7480253018237863,0.5127219476478125,0.569754079896322,0.48375451263537905,0.533256880733945,-0.001197779028203724,0.4507042253521127,0.40597999823779046
bert-small_3_2,-0.020702674026557004,0.7183902190524707,0.7666481687014428,0.8176825919824272,0.8392267085726375,0.49097472924187724,0.8348623853211009,0.72919980661586,0.4507042253521127,0.6252206845348192
bert-small_1_3,0.16160589469298225,0.7704533876719307,0.7976873875522215,0.8590518030386235,0.8656753119312872,0.5776173285198556,0.8887614678899083,0.8507356169951659,0.29577464788732394,0.6741514273532554
bert-small_4_3,0.0,0.6982170147733061,0.7443627450980392,0.7966318872414424,0.8309310171015781,0.516245487364621,0.8314220183486238,0.5072127276942031,0.36619718309859156,0.5879133423022673
bert-small_2_2,0.13083110564116265,0.7524197656647987,0.7719791957987632,0.8453230825553725,0.8529059736097409,0.6064981949458483,0.8600917431192661,0.8221919535730096,0.29577464788732394,0.659779518088365
bert-small_3_1,0.004051913348362995,0.7213448802852777,0.7715398863128313,0.8217096833241808,0.8393450643076328,0.5234657039711191,0.8314220183486238,0.7145193453155996,0.43661971830985913,0.6293353570581651
bert-small_1_1,0.1623168791712611,0.7686194600101884,0.8033394607843137,0.8601501006772836,0.8647593364534478,0.6028880866425993,0.875,0.8464410769090185,0.28169014084507044,0.6739116157214647
bert-small_2_3,0.0,0.7536423841059603,0.7824735572462423,0.8407468423942889,0.8540744931221507,0.631768953068592,0.8474770642201835,0.8238248794322951,0.323943661971831,0.650883537284616
bert-small_4_1,0.0,0.6970962812022414,0.7719791957987632,0.8048691195313931,0.8305286560108345,0.5126353790613718,0.8337155963302753,0.5002830578810274,0.4225352112676056,0.5970713885648347
bert-small_3_3,0.0,0.7278655119714722,0.7686542462644221,0.8147537982793337,0.8398297790572642,0.516245487364621,0.841743119266055,0.7248659161238677,0.4225352112676056,0.6284992299549602
bert-small_1_2,0.1850065584221402,0.7710646968925114,0.8040505675954592,0.8616144975288303,0.8634300197221337,0.6353790613718412,0.8658256880733946,0.8493138237630173,0.323943661971831,0.6844031750379065
bert-small_2_1,0.0835915715371112,0.7539480387162506,0.782741398446171,0.841845140032949,0.854719114144461,0.5415162454873647,0.8589449541284404,0.8250308008949961,0.43661971830985913,0.6643285535219559
bert-small_4_2,0.0,0.6949566989302088,0.7349950745848579,0.7931539447190189,0.8312781031747968,0.49458483754512633,0.8130733944954128,0.46138060564537675,0.36619718309859156,0.5766244269103766
bert-small_5_3,0.0,0.6867040244523688,0.7632046568627451,0.767893099029837,0.8166891275556576,0.5451263537906137,0.823394495412844,0.22874237843077344,0.3380281690140845,0.5521980338387693
bert-small_10_1,0.0,0.5173713703515028,0.7480253018237863,0.5855756910122644,0.6951119544598894,0.516245487364621,0.7568807339449541,0.026171854220595585,0.49295774647887325,0.4820377932951652
bert-small_5_1,0.0,0.683239938869078,0.750247417579019,0.7684422478491671,0.8181403075463747,0.5054151624548736,0.8142201834862385,0.30342799245826046,0.43661971830985913,0.5644169965058745
bert-small_6_3,0.0,0.6607233825776873,0.7440660474716203,0.700713893465129,0.7939883899241181,0.48375451263537905,0.823394495412844,0.10741888835191778,0.38028169014084506,0.5215934777755045
bert-small_7_1,0.0,0.6360672440142638,0.7550840014413116,0.6306058941973275,0.7670935587385175,0.48736462093862815,0.8061926605504587,0.09202143572461167,0.43661971830985913,0.5123387926572198
