,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,average
bert-small_100_3,0.0,0.3442689760570555,0.7480253018237863,0.5030203185063152,0.3313470908161768,0.4765342960288808,0.5137614678899083,0.0043033775337054,0.5492957746478874,0.3856174003670796
bert-small_35_1,0.0,0.3496688741721854,0.7480253018237863,0.5085118066996156,0.5492708584853139,0.4981949458483754,0.5034403669724771,0.0309792510637698,0.5070422535211268,0.4105704065096278
bert-small_19_2,0.0,0.360061130922058,0.7480253018237863,0.5260845689181768,0.6011664090669523,0.5270758122743683,0.5940366972477065,-0.0151575507154536,0.5774647887323944,0.4354174620299987
bert-small_100_2,0.0,0.3418237391747326,0.7480253018237863,0.5094270547318324,0.3507155246347502,0.4801444043321299,0.5126146788990825,0.0472720683892557,0.4225352112676056,0.3791731092503528
bert-small_100_1,0.0,0.3429444727457972,0.7480253018237863,0.5145524437122461,0.3170387563558308,0.4512635379061371,0.5149082568807339,-0.0210476067042621,0.3943661971830985,0.3624501511003741
bert-small_35_3,0.0,0.33428425878757,0.7480253018237863,0.5158337909573495,0.551158507712183,0.4620938628158845,0.5389908256880734,-0.0219106265668729,0.5492957746478874,0.4086412995406512
bert-small_19_1,0.0,0.375140091696383,0.7480253018237863,0.5370675453047776,0.5998531089997261,0.4873646209386281,0.5573394495412844,-0.0400273051857397,0.4084507042253521,0.4081348352604664
bert-small_19_3,0.0,0.3790117167600611,0.7480253018237863,0.5183964854475562,0.5995645544966564,0.4765342960288808,0.6020642201834863,0.0378909427697544,0.6197183098591549,0.4423562030410374
bert-small_35_2,0.0,0.3568008150789608,0.7480253018237863,0.5127219476478125,0.569754079896322,0.483754512635379,0.533256880733945,-0.0011977790282037,0.4507042253521127,0.4059799982377904
bert-small_3_2,-0.020702674026557,0.7183902190524707,0.7666481687014428,0.8176825919824272,0.8392267085726375,0.4909747292418772,0.8348623853211009,0.72919980661586,0.4507042253521127,0.6252206845348192
bert-small_1_3,0.1616058946929822,0.7704533876719307,0.7976873875522215,0.8590518030386235,0.8656753119312872,0.5776173285198556,0.8887614678899083,0.8507356169951659,0.2957746478873239,0.6741514273532554
bert-small_4_3,0.0,0.6982170147733061,0.7443627450980392,0.7966318872414424,0.8309310171015781,0.516245487364621,0.8314220183486238,0.5072127276942031,0.3661971830985915,0.5879133423022673
bert-small_2_2,0.1308311056411626,0.7524197656647987,0.7719791957987632,0.8453230825553725,0.8529059736097409,0.6064981949458483,0.8600917431192661,0.8221919535730096,0.2957746478873239,0.659779518088365
bert-small_3_1,0.0040519133483629,0.7213448802852777,0.7715398863128313,0.8217096833241808,0.8393450643076328,0.5234657039711191,0.8314220183486238,0.7145193453155996,0.4366197183098591,0.6293353570581651
bert-small_1_1,0.1623168791712611,0.7686194600101884,0.8033394607843137,0.8601501006772836,0.8647593364534478,0.6028880866425993,0.875,0.8464410769090185,0.2816901408450704,0.6739116157214647
bert-small_2_3,0.0,0.7536423841059603,0.7824735572462423,0.8407468423942889,0.8540744931221507,0.631768953068592,0.8474770642201835,0.8238248794322951,0.323943661971831,0.650883537284616
bert-small_4_1,0.0,0.6970962812022414,0.7719791957987632,0.8048691195313931,0.8305286560108345,0.5126353790613718,0.8337155963302753,0.5002830578810274,0.4225352112676056,0.5970713885648347
bert-small_3_3,0.0,0.7278655119714722,0.7686542462644221,0.8147537982793337,0.8398297790572642,0.516245487364621,0.841743119266055,0.7248659161238677,0.4225352112676056,0.6284992299549602
bert-small_1_2,0.1850065584221402,0.7710646968925114,0.8040505675954592,0.8616144975288303,0.8634300197221337,0.6353790613718412,0.8658256880733946,0.8493138237630173,0.323943661971831,0.6844031750379065
bert-small_2_1,0.0835915715371112,0.7539480387162506,0.782741398446171,0.841845140032949,0.854719114144461,0.5415162454873647,0.8589449541284404,0.8250308008949961,0.4366197183098591,0.6643285535219559
bert-small_4_2,0.0,0.6949566989302088,0.7349950745848579,0.7931539447190189,0.8312781031747968,0.4945848375451263,0.8130733944954128,0.4613806056453767,0.3661971830985915,0.5766244269103766
bert-small_5_3,0.0,0.6867040244523688,0.7632046568627451,0.767893099029837,0.8166891275556576,0.5451263537906137,0.823394495412844,0.2287423784307734,0.3380281690140845,0.5521980338387693
bert-small_10_1,0.0,0.5173713703515028,0.7480253018237863,0.5855756910122644,0.6951119544598894,0.516245487364621,0.7568807339449541,0.0261718542205955,0.4929577464788732,0.4820377932951652
bert-small_5_1,0.0,0.683239938869078,0.750247417579019,0.7684422478491671,0.8181403075463747,0.5054151624548736,0.8142201834862385,0.3034279924582604,0.4366197183098591,0.5644169965058745
bert-small_6_3,0.0,0.6607233825776873,0.7440660474716203,0.700713893465129,0.7939883899241181,0.483754512635379,0.823394495412844,0.1074188883519177,0.380281690140845,0.5215934777755045
bert-small_7_1,0.0,0.6360672440142638,0.7550840014413116,0.6306058941973275,0.7670935587385175,0.4873646209386281,0.8061926605504587,0.0920214357246116,0.4366197183098591,0.5123387926572198
bert-small_5_2,0.0,0.6865002547121752,0.7365196078431373,0.7695405454878272,0.8179282013714865,0.5234657039711191,0.8222477064220184,0.3035453157753133,0.4507042253521127,0.5678279512150212
bert-small_7_2,0.0,0.6449312277126846,0.7419117647058824,0.6183415705656233,0.7725143976685048,0.4909747292418772,0.8061926605504587,0.0986608465607381,0.3943661971830985,0.5075437104654299
bert-small_10_3,0.0,0.5267447784004076,0.7480253018237863,0.5939959729086582,0.7089876185109,0.483754512635379,0.7706422018348624,0.031621300379199,0.5492957746478874,0.4903408290156755
bert-small_6_2,0.0,0.6586856851757514,0.7610524256651017,0.6849716273110013,0.7974806854434339,0.4657039711191336,0.8188073394495413,0.1105980972346284,0.3661971830985915,0.5181663349441314
bert-small_7_3,0.0,0.6407539480387162,0.750993640699523,0.6241991579718104,0.7657036521083259,0.483754512635379,0.8038990825688074,0.0802636029756151,0.4929577464788732,0.5158361492752278
bert-small_10_2,0.0,0.5106469689251146,0.7480253018237863,0.5839282445542742,0.7001152679164341,0.4548736462093863,0.7798165137614679,0.0387906857289428,0.6056338028169014,0.4913144924151452
bert-small_6_1,0.0,0.6662251655629139,0.7440467893318465,0.7118799194581732,0.7959512943217808,0.5054151624548736,0.8061926605504587,0.1194084977491739,0.4507042253521127,0.5333137460868148
