,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,average
roberta-base_1_1,0.42751732583319796,0.8595007641365258,0.8635976129582268,0.9071938495332235,0.8810073728123259,0.5306859205776173,0.9208715596330275,0.8784805103738915,0.5633802816901409,0.7836068644822545
roberta-base_3_1,0.0,0.5097300050942435,0.7468137254901961,0.748306791140399,0.8080068529056731,0.4729241877256318,0.8360091743119266,0.2692272473931132,0.5633802816901409,0.5488772480076479
roberta-base_5_1,0.0,0.5199184921039226,0.6964183483612423,0.7440966501922021,0.7612972028642953,0.4729241877256318,0.8245412844036697,0.29661392863811,0.5633802816901409,0.5394762617861342
roberta-base_10_1,0.0,0.3273560876209883,0.7480253018237863,0.4946000366099213,0.6100343368322946,0.4729241877256318,0.7396788990825688,0.08024954118512864,0.5633802816901409,0.4341085488600399
roberta-base_18_1,0.0,0.31818644931227713,0.7480253018237863,0.4938678381841479,0.45317878342483403,0.4729241877256318,0.5091743119266054,0.02114009308470427,0.5915492957746479,0.37706212068524836
roberta-base_2_1,0.0,0.6418746816097809,0.7542921758075212,0.790591250228812,0.8310033161913141,0.4729241877256318,0.8795871559633027,0.5339764250390391,0.43661971830985913,0.6130311490706752
roberta-base_4_1,0.0,0.4710137544574631,0.739241151005857,0.7065714808713162,0.7710316372244024,0.4729241877256318,0.841743119266055,0.21657104656755455,0.5633802816901409,0.527387047139785
roberta-base_6_1,0.0,0.5130922058074376,0.7354433625937511,0.7098663737872963,0.7350153894590397,0.4729241877256318,0.8256880733944955,0.2072857774097318,0.5633802816901409,0.5249144212721729
roberta-base_7_1,0.0,0.4967906265919511,0.7453177822853279,0.6399414241259381,0.7195969024845774,0.4729241877256318,0.8314220183486238,0.16798705276974163,0.5633802816901409,0.509247499291474
roberta-base_8_1,0.0,0.4840550178298523,0.743408850026497,0.5727622185612301,0.6625186761443382,0.4729241877256318,0.8188073394495413,0.1601254015766767,0.5633802816901409,0.489325211414221
roberta-base_9_1,0.0,0.3544574630667346,0.755036926664939,0.5738605161998902,0.644767811064221,0.4729241877256318,0.7775229357798165,0.1254570394109047,0.5633802816901409,0.4630033599890172
roberta-base_15_1,0.0,0.31818644931227713,0.7480253018237863,0.4946000366099213,0.45317878342483403,0.48014440433212996,0.49311926605504586,-0.0631486328321879,0.5211267605633803,0.3655132010907258
roberta-base_20_1,0.0,0.31818644931227713,0.7480253018237863,0.49478308621636463,0.3159163987138264,0.555956678700361,0.5091743119266054,-0.02918368747110246,0.5352112676056338,0.3641073174027648
roberta-base_25_1,0.0,0.31788079470198677,0.7480253018237863,0.4938678381841479,0.3159163987138264,0.5270758122743683,0.5091743119266054,0.02219507327563552,0.5915492957746479,0.3667669413625446
roberta-base_40_1,-0.03589254563226399,0.3394803871625064,0.2572640254840106,0.4918542925132711,0.3159163987138264,0.5234657039711191,0.5114678899082569,-0.0275548772047818,0.5633802816901409,0.2970001593644931
roberta-base_50_1,0.025700716099585,0.35303107488537955,0.23504576249104292,0.49405088779059125,0.32034708858095257,0.5234657039711191,0.4873853211009174,0.029925149415368613,0.5633802816901409,0.3086189630418696
roberta-base_70_1,-0.08062995080090259,0.33622007131940906,0.573470822591985,0.4986271279516749,0.4790206736513905,0.48014440433212996,0.4896788990825688,0.05628673127498461,0.5492957746478874,0.35410234742540503
roberta-base_4.5_1,0.0,,0.7952622673434856,,0.7242364976681209,,0.8222477064220184,0.24288362876207764,,0.5169260200391406
roberta-base_3.5_1,0.0,0.3544574630667346,0.7524194565285921,0.6571480871316127,0.7851319995434147,0.4729241877256318,0.8325688073394495,0.3129591335588886,0.5633802816901409,0.5209511418617905
roberta-base_5.5_1,0.0,0.5057564951604687,0.7552311652563972,0.748306791140399,0.7572402323188232,0.4729241877256318,0.8188073394495413,0.2548483854295321,0.5633802816901409,0.5391393245600992
