model,glue_average,a-patchiness,a-patchiness_m,p-point_dist,a-point_dist,a-point_dist_m,type,source,alpha
chin,0.684,0.5273157196122376,0.5460683329944196,0.5059976019912549,0.5039263767597449,0.5685486954101057,bert-base,alt_models,NA
germ,0.703,0.7600776405703651,1.0078640018235063,0.5893897931586998,0.6352042546055952,0.7100344248349192,bert-base,alt_models,NA
shuffle_index,0.681,0.5700754175998308,0.6309028422209639,0.5927975308543763,0.5630269547102983,0.6322447919495457,bert-base,alt_models,NA
untrained,0.557,0.6444928954448579,0.7785458450478746,0.8313667462268596,0.7719893050174655,0.857455551299641,bert-base,alt_models,NA
fc,0.767,0.6111844142288763,0.5528717729212715,0.525769984838483,0.5291578255392865,0.5863946372977896,roberta,alt_models,NA
mlm,0.798,0.7655173032688443,0.8590655842765162,0.6285605921995988,0.6415855838562032,0.7075645073024217,roberta,alt_models,NA
asci,0.752,0.7050500928111023,0.7390996732691679,0.5990247628973692,0.5636188082561645,0.6235352230263204,roberta,alt_models,NA
rand,0.564,0.8865633836624309,1.0992189367853733,0.5477802788130592,0.5499208547987391,0.6087721497016075,roberta,alt_models,NA
roberta_sinha,0.841,0.6340711063305977,0.5982785784799045,0.7251127094016099,0.6937961959481496,0.7638348908335988,roberta,alt_models,NA
shuffle_corp,0.623,0.6093036318879039,0.5491403329353144,0.7360572230899384,0.7060402055407421,0.7770309651205898,roberta,alt_models,NA
shuffle_sent,0.776,0.5990999312499601,0.5288963654459824,0.6577030331081737,0.6405697451251605,0.706469679398452,roberta,alt_models,NA
bert-small,0.78,0.5375979326627998,0.6140604506840601,0.6282296545990602,0.6541617037816901,0.645981791392442,bert-small,alt_models,NA
untrained_w_emb,0.557,0.8885196920401595,1.2626908344089962,0.5949939918653969,0.5794865835494635,0.6499842818817757,bert-base,alt_models,NA
bert-small_100_3,0.3651576035819785,0.44027635824129563,0.42097611211837566,0.5389129313569854,0.5468597816339498,0.5303363302311614,bert-small,perturbed_weights,100
bert-small_35_1,0.3985114256331904,0.4562870122623077,0.4527409757678484,0.531999083843239,0.5325788058714206,0.5149449001911961,bert-small,perturbed_weights,35
bert-small_19_2,0.4176615461921993,0.4642311635876628,0.468502036079909,0.5203111330912842,0.5063871718403745,0.4867166677843491,bert-small,perturbed_weights,19
bert-small_100_2,0.3737528464981962,0.443518799093225,0.42740905929329037,0.5315624768643233,0.5382541589485291,0.521061555053647,bert-small,perturbed_weights,100
