Paper,Model,P-reconstruction error,P-variance(counts),P-KL(counts),P-variance(nn_centroid),P-EEE(point_dist),P-patchiness,A-reconstruction error,A-variance(counts),A-KL(counts),A-variance(nn_centroid),A-EEE(point_dist),A-patchiness,EEE,VRM,,IsoScore,Glue Performance
Alaj,roberta base,0.47636482,0.5956496217,0.210893276,0.017476099,0.7618794291,1.035374713,0.3512491,0.7694651227,0.3277334803,0.005037099,0.7415556641,1.046613954,0.665,0.3333,tensor(0.0959),0.0959,79.8
Alaj,ascii,0.28802785,0.6800998581,0.3028650025,0.013211833,0.7930678116,1.041217517,0.16938533,1.120100377,0.4436670305,0.003890629,0.8333116438,1.067171409,0.8705,0.7893,tensor(0.0112),0.0112,75.2
Alaj,first char,0.19365942,0.2593540915,0.1376582304,0.011473105,0.8750100394,1.015530426,0.10889694,0.5182409573,0.2277950089,0.008189582,0.8783401367,1.031163677,0.9062,0.9108,tensor(0.0326),0.0326,76.7
Alaj,random value,0.020735702,1.261264036,0.4166115654,0.007927123,0.8473481445,1.075664909,0.011204987,1.634961089,0.5118188903,0.0057486496,0.8545303711,1.097842467,0.9186,0.728,tensor(0.0148),0.0148,56.4
Sinha,roberta base,0.13480099,1.107315053,0.3944646904,0.006202794,0.6496830816,1.065817092,0.10731607,0.7859231428,0.2995084141,0.0072024036,0.6797730469,1.047125852,0.6638,0.3736,tensor(0.1217),0.1217,84.29
Sinha,shuffle w/in sentence,0.1246334,0.841297056,0.333993,0.013621595,0.7174897566,1.050373343,0.095846966,0.574869637,0.2488900787,0.009295408,0.7469743164,1.03472683,0.782,0.5504,tensor(0.0395),0.0395,79.01
Sinha,shuffle w/in corpus,0.07470498,0.8438812311,0.4050464633,0.0027817178,0.6263403866,1.05127999,0.05921783,0.7680995195,0.315933899,0.007821308,0.6623267578,1.046077233,0.6227,0.2939,tensor(0.0651),0.0651,62.41
Zhang,bert base,0.257155,0.5677560631,0.2852631289,0.011319319,0.729932542,1.034478705,0.18702242,0.6961635818,0.3160210132,0.009362074,0.7367411133,1.042102152,0.7747,0.4859,tensor(0.0271),0.0271,76.9
Zhang,German,0.10203464,0.1436146241,0.08075800148,0.006347853,0.8098908113,1.00836115,0.06642719,0.4977101588,0.2078125541,0.0037004757,0.8231455348,1.029577437,0.886,0.6197,tensor(0.0082),0.0082,70.5
Zhang,Chinese,0.09512918,0.1130145341,0.06285284549,0.0014112468,0.8916169922,1.006468149,0.058075536,0.2968296827,0.1477096691,0.0063264924,0.8983936523,1.017799503,0.8536,0.7889,tensor(0.0324),0.0324,67
Zhang,Untrained,0.3279124,0.6955450416,0.304160747,0.04801429,0.5246231445,1.042164877,0.25818297,0.6966460665,0.3218557804,0.03164645,0.5956854902,1.042083263,0.6446,0.3518,tensor(0.1993),0.1993,42.4
Zhang,Index shuffled,0.008678536,0.30320301,0.1623532198,0.0015245602,0.9276401367,1.018240207,0.0032520846,1.033055694,0.4794123025,0.0046531186,0.9134968348,1.062792979,0.9657,0.9932,tensor(0.0057),0.0057,66.8
