,p-error,p-centroids,p-point_dist,p-patchiness,p-iqr,a-error,a-centroids,a-point_dist,a-patchiness,a-iqr,EEE,VRM,IsoScore,p-under_mu,p-under_mu2,p-skew,a-under_mu,a-under_mu2,a-skew,p-count_var,p-count_kl,a-count_var,a-count_kl
bert-small_100_3,0.16167092,0.0048802467,0.8567003906249999,1.0008781691691282,0.07168194651603699,0.122383505,0.0023268422,0.85571201171875,1.0012138430060913,0.07704752683639526,0.841,0.8039,0.1213,0.522684220902226,0.0,0.35825354017441285,0.5129899628858203,0.0,0.17925873512744464,0.022982893723801103,0.013554529916051702,0.028379778875545533,0.01682639451977081
bert-small_35_1,0.23339027,0.0070610926,0.86454541015625,1.004281044287365,0.07203948497772217,0.16726455,0.006764108,0.8728524414062501,1.0050276788453656,0.08756792545318604,0.7962,0.671,0.1528,0.5178156633838189,0.0,0.23673942627905073,0.49449287287750604,0.0,-0.10228710503015839,0.0776609944381365,0.04939339139984312,0.08984874896112434,0.04955161436022399
bert-small_19_2,0.21565898,0.0076122917,0.87780751953125,1.0101001215660597,0.07006359100341797,0.14969963,0.005262264,0.90428837890625,1.0069200243421514,0.09110543131828308,0.7444,0.5416,0.1972,0.5058156976694352,0.0,-0.039620971877787015,0.49897571721223655,0.00031714195102299707,-0.07808767446758705,0.17130195801175607,0.11128804482842947,0.12052690284932167,0.06190451837512627
bert-small_100_2,0.20255816,0.0040205424,0.8650408203125,1.001636993698288,0.07777786254882812,0.1470261,0.0020533171,0.86604072265625,1.001986212274179,0.08149871230125427,0.8368,0.785,0.1168,0.5173013791389167,3.42856163268105e-05,0.23728537297252694,0.505824269073517,0.0,0.040324257632851385,0.03516581490727366,0.02278370333815022,0.040825790767220954,0.022869257217558638
bert-small_100_1,0.20750242,0.00896567,0.8609691406250001,1.0010252728509834,0.07663333415985107,0.15433338,0.002350916,0.85917275390625,1.001675862896586,0.08208882808685303,0.8388,0.7888,0.1196,0.5225213642246737,0.0,0.3312813030991486,0.5126899637429607,0.0,0.13327001748211909,0.025366894052493972,0.013898492680072037,0.03581989770286339,0.020526275735096976
bert-small_35_3,0.21754172,0.0072991764,0.8568586914062499,1.0032192983871462,0.06966021656990051,0.15879849,0.004424912,0.8636353515624999,1.0043935893422087,0.08160167932510376,0.793,0.6628,0.1599,0.5169670943797303,0.0,0.24417019384271424,0.49212716535095613,0.0,-0.13592996368074015,0.06058380622633657,0.03994241144534164,0.07961491705442014,0.04550527736992632
bert-small_19_1,0.17980851,0.015560294,0.8806500976562499,1.0104388329040328,0.07439076900482178,0.123965606,0.010598777,0.9070180664062499,1.007466517088719,0.09499809145927429,0.7524,0.558,0.1875,0.5179699486572895,0.0,0.18087502700708105,0.49852143279590627,0.0,0.001188260803791721,0.1767224464957297,0.11560834873847389,0.12937612947956076,0.06633620144117292
bert-small_19_3,0.20985988,0.017064538,0.8782628906250001,1.0105154951271869,0.07024726271629333,0.14457498,0.009246894,0.9066663085937499,1.006959435447557,0.09526258707046509,0.7525,0.5577,0.1873,0.5130756769266374,9.428544489872886e-05,0.06621353368239837,0.49682429478772916,0.0,-0.058449547554941576,0.17796143528616432,0.11809922722458369,0.1211862984348671,0.061920105893688154
bert-small_35_2,0.20326298,0.0032856767,0.85846259765625,1.0022324608588788,0.06939616799354553,0.14898694,0.0045574107,0.86141923828125,1.0037395339123267,0.08493161201477051,0.8016,0.6879,0.1542,0.5144042445593012,0.0,0.2346967875137238,0.49373001791423454,0.0,-0.10652949080332884,0.04475013569959271,0.027258097845132043,0.06904933774065652,0.03928855743548172
bert-small_3_2,0.20065828,0.008849811,0.82535283203125,1.0084288782833817,0.09118127822875977,0.133058,0.00553086,0.8347349609375,1.0129396013730907,0.10575342178344727,0.7644,0.5696,0.1095,0.5341784737757892,0.0,0.452410973681832,0.5234385044614158,0.0,0.3576113643302513,0.14468881523852123,0.08184804593586709,0.21825512647713374,0.10579531621711342
bert-small_1_3,0.4480212,0.0076030185,0.7488225048923679,1.0133065500680747,0.16141045093536377,0.32914045,0.012107831,0.72290166015625,1.028259044347577,0.15540257096290588,0.5891,0.2757,0.2071,0.43991874308930545,0.008082834049045574,-0.6745724521934869,0.4897014579958343,0.003505704269416373,-0.2139654500421596,0.22444966784599052,0.10721405204777543,0.4737975938638299,0.1942577221430516
bert-small_4_3,0.13675849,0.018731065,0.9087309570312501,1.0197075368378938,0.09371502697467804,0.07621831,0.003724006,0.9421482421875,1.0084309342389803,0.10049468278884888,0.8254,0.7117,0.0872,0.555195556584124,0.00020571369796086296,0.779492582730441,0.5671698080862626,0.0003599989714315102,1.0063333481400132,0.327111579566685,0.18199830394684077,0.14499762424912097,0.07362831745618953
bert-small_2_2,0.27961472,0.013044342,0.7548260742187499,1.0107941370614757,0.11412540078163147,0.19933501,0.024084164,0.74316513671875,1.016974211461,0.12100791931152344,0.6628,0.3941,0.1664,0.48046148439575886,0.0,0.021035948890551333,0.5158785260613541,0.0,0.3176545803423671,0.1832673573204532,0.09363194069921371,0.28497376707072897,0.1312127538440964
bert-small_3_1,0.11154574,0.00873412,0.8451179687499999,1.012063565040244,0.08220651745796204,0.07159806,0.00839931,0.8645306640625,1.0160488421855667,0.09084610641002655,0.7867,0.6194,0.0975,0.5556326981922909,1.714280816340525e-05,0.9199130892251239,0.5417984520044229,0.0,0.7302020013635785,0.2033132414847124,0.1164310492569715,0.2689721047417674,0.12530194124748234
bert-small_1_1,0.45136082,0.015719846,0.7493350585937499,1.011146452501303,0.15657314658164978,0.33240718,0.023247998,0.71757890625,1.026867308757506,0.14800897240638733,0.5827,0.264,0.2275,0.4488415747383579,0.003282847763292105,-0.5292946429551545,0.4921443081591195,0.00120856797552007,-0.10769516867259195,0.18917609308132471,0.09452107921669646,0.44733227285809674,0.19717137737737736
bert-small_2_3,0.22803389,0.011695849,0.7647856445312501,1.011002295806689,0.11426612734794617,0.15844704,0.01683498,0.75846943359375,1.0240717592790363,0.12113609910011292,0.6904,0.4366,0.1509,0.49575286927751633,0.0,0.13654164263687,0.5241756452124422,0.0,0.3963205167852522,0.1865154251626125,0.09951611483521788,0.4070538672196947,0.1541505075579934
bert-small_4_1,0.15285373,0.012565844,0.9169080078125,1.015129595520045,0.08288463950157166,0.0843482,0.0029512881,0.94411201171875,1.009430415482753,0.0915084183216095,0.8245,0.709,0.0846,0.5481155768126377,0.0007714263673532361,0.5985631936079128,0.5625241070739798,0.0004114273959217259,0.9010721558214885,0.2528454981303222,0.14411807649109548,0.16111182319204348,0.08298005045265347
bert-small_3_3,0.13364214,0.008648025,0.82448017578125,1.0110578019058376,0.09373769164085388,0.08794199,0.0039482517,0.84142705078125,1.0143153089731176,0.10204309225082397,0.7742,0.5891,0.0918,0.5436841609023975,0.0,0.6688103264102762,0.5330127628206777,0.0,0.5178969560617208,0.18708955926926019,0.10496986855993024,0.24067338846663772,0.1161751705542153
bert-small_1_2,0.46350932,0.007279736,0.7448127077223852,1.0154287670349809,0.14647173881530762,0.3381604,0.01792232,0.7205319335937499,1.025285611216199,0.14676213264465332,0.5797,0.2735,0.2237,0.4478815774812072,0.0006857123265362099,-0.5449831113222866,0.49571858366118954,0.0007714263673532361,-0.0904015313414378,0.2591373678582407,0.1246948850615957,0.4217734481456761,0.18672670161735722
bert-small_2_1,0.26408443,0.009850357,0.75372919921875,1.0101148576777714,0.10792511701583862,0.18887319,0.012695946,0.7456320312500001,1.0201242539995068,0.10962404310703278,0.6623,0.3936,0.182,0.49706429410201686,0.0,0.21015609899157284,0.5235413613103963,8.571404081702625e-06,0.49121107495561983,0.17213463755060443,0.09247751151423048,0.34296359684778027,0.13228293060820495
bert-small_4_2,0.12416453,0.012970431,0.9185654296875,1.0180706358895861,0.10671573877334595,0.06801383,0.0033834376,0.94343056640625,1.0093897483518717,0.10813826322555542,0.8379,0.7394,0.0766,0.551132711049397,0.001002854277559207,0.6004919500142277,0.563209819400516,1.714280816340525e-05,0.9175438888090741,0.3005757761934791,0.16755931587854145,0.16050703516861342,0.08145518875429389
bert-small_5_3,0.17739195,0.020783236,0.9181442382812499,1.0252730315656338,0.10833027958869934,0.0952089,0.0042134426,0.957491796875,1.0107510131283066,0.11897341907024384,0.8322,0.7271,0.0855,0.5436241610738255,0.001002854277559207,0.521222446798144,0.5559669829514773,0.0006085696898008863,0.7869791618347007,0.41704032079147113,0.23840775037116926,0.1824946831948916,0.09501834371660962
bert-small_10_1,0.19254108,0.026901815,0.92931328125,1.0235074035814815,0.09161809086799622,0.114542656,0.0060589043,0.9589307617187499,1.0084652060431412,0.12001615762710571,0.7802,0.606,0.1466,0.5069985514327102,0.0001457138693889446,-0.028649790871331786,0.5092014022817077,0.0,0.15600592987877557,0.3879690205211615,0.23038797199622627,0.14550231078896766,0.07578363921576203
bert-small_5_1,0.15170807,0.017274141,0.9384833984375001,1.018632072224231,0.10048839449882507,0.08014572,0.003440158,0.959333431085044,1.0121005052373204,0.11007949709892273,0.8452,0.7639,0.0785,0.5561726966494381,0.001594281159196688,0.5747417493211764,0.5786812037679893,0.0012257107836834752,0.9035086294569189,0.3096293755803933,0.17164072993206386,0.20443504324429287,0.10492470545571925
bert-small_6_3,0.18796124,0.02065865,0.92829482421875,1.0257109307123289,0.10035911202430725,0.10325489,0.0049889293,0.9608658203125,1.0123716909529914,0.11366648972034454,0.8187,0.6936,0.0998,0.5265670669512372,0.0026314210530827054,0.04067395706020019,0.5449013002819992,0.001182853763274962,0.481631320917668,0.42419494959887516,0.23760441665174084,0.208736122687946,0.10703807662227613
bert-small_7_1,0.14549433,0.018709544,0.92330576171875,1.0337317442423086,0.09631657600402832,0.078104384,0.006117952,0.96246767578125,1.0148520656120548,0.11740179359912872,0.8367,0.7433,0.0963,0.5343241876451782,0.0033428475918640234,0.08751391740362029,0.5417898806003412,0.0038828460490112886,0.21305489673105113,0.5545324187935154,0.30428988594222917,0.2489100837641331,0.12900081763847354
bert-small_5_2,0.13288428,0.013894078,0.9386239257812499,1.02033234515327,0.09681724011898041,0.07118813,0.008230275,0.9571574218750001,1.0129944045211539,0.10071569681167603,0.8416,0.7488,0.0739,0.5387898891717452,0.0011742823591932594,0.46796616448871925,0.5598498290004885,0.0011057111265396385,0.78288488737129,0.33720500724877256,0.1843435310463015,0.2189821665341609,0.11118349384998659
bert-small_7_2,0.2340487,0.01949219,0.9287575195312501,1.026258196352439,0.09487521648406982,0.13402289,0.004551066,0.9611763671875,1.0119304880537463,0.1201750636100769,0.7922,0.6303,0.1239,0.5182528049919858,0.001002854277559207,-0.05478045206995754,0.5144213873674647,0.0022628506775694925,0.13778600951665032,0.4328208756233554,0.2472112384713252,0.20162593826006048,0.10344863243900321
bert-small_10_3,0.1587192,0.030601602,0.9306513196480938,1.0323738496343704,0.09711471199989319,0.09054328,0.008473573,0.9661080078125001,1.0122990859801226,0.11894288659095764,0.8083,0.671,0.1286,0.5050956997265722,0.0035228470775797785,-0.5594821567621723,0.5188528032777049,0.0005828554775557784,0.30558304353771776,0.5320217531766616,0.3014598000316901,0.20746622897413433,0.10647945651580248
bert-small_6_2,0.1904305,0.021971097,0.93481279296875,1.0224507282155535,0.09140351414680481,0.105404206,0.005486488,0.95873935546875,1.0124454843598858,0.1137123703956604,0.8158,0.6865,0.0998,0.5166585238327891,0.0,0.14740249903932234,0.5292499164288103,0.0031971337224750785,0.13191687564503682,0.37117907367055075,0.21248266799097532,0.20979565532400152,0.11111669517141577
bert-small_7_3,0.16863938,0.020517683,0.9207662109375,1.0320225574703286,0.10187298059463501,0.09407422,0.0033632694,0.963003515625,1.013381444921736,0.12043334543704987,0.816,0.6868,0.1098,0.5343070448370147,0.003557132693906589,0.11752318168273665,0.5367670378084634,0.0012599964000102857,0.4867884321781264,0.5266061237020166,0.2932960391718531,0.2251296426295624,0.11621027072561971
bert-small_10_2,0.14968185,0.028158128,0.9318986328125001,1.0296287075086745,0.09252071380615234,0.08669527,0.0038554245,0.964408211143695,1.010806152470367,0.12126097083091736,0.7981,0.6478,0.1363,0.5000814283387762,0.002185708040834169,-0.4697072282473789,0.5089785457755835,0.0009514258530689912,0.07047604403999316,0.48725039093934025,0.2813371464643175,0.18331984606771135,0.09666448656624066
bert-small_6_1,0.1825757,0.019857902,0.9371763671875,1.0219485290281243,0.09467959403991699,0.09876043,0.0066706594,0.96023330078125,1.0137257986764465,0.10985422134399414,0.8281,0.7182,0.0926,0.5153642418164519,0.002099994000017143,0.09386562240422912,0.5364756100696855,0.0023999931428767348,0.3142822841085491,0.3630126123095927,0.2094529203510314,0.23050039131540287,0.12173280052977749
bert-small_30_3,0.23181753,0.006874338,0.8661568359375,1.00447748855258,0.07079875469207764,0.16671516,0.0071716616,0.8765300781250001,1.0049976823473867,0.08737596869468689,0.787,0.6475,0.1656,0.5118842517592807,0.0,0.18183874473775738,0.489538601318282,0.0,-0.14316964146873612,0.08082164337938504,0.05297529155177876,0.08939837823478544,0.04875628154529833
bert-small_13_3,0.17418738,0.019408168,0.92893828125,1.0221236837496879,0.08308303356170654,0.10649849,0.0035358444,0.9556013671874999,1.0070757685623872,0.10434260964393616,0.7703,0.5878,0.1623,0.5089785457755835,0.0005571412653106705,-0.03222090001795696,0.5203956560124114,0.0005742840734740758,0.212038124094826,0.3655377771852262,0.21903172831646373,0.12303372655089873,0.06476077087649312
bert-small_30_1,0.24065079,0.006279569,0.862969140625,1.0045355202209698,0.06966429948806763,0.17297933,0.007213806,0.8745061523437501,1.0054569568494878,0.0879804790019989,0.7781,0.6288,0.1745,0.5148585289756314,0.0,0.16749701318772955,0.4890414598815432,0.0,-0.16336205077045454,0.08176050405010613,0.05398759351301684,0.09680719728627729,0.05293432990835968
bert-small_8_1,0.23331401,0.018587667,0.93665810546875,1.0261558052967155,0.09090396761894226,0.13645063,0.005342625,0.9615856445312501,1.0109267673566484,0.12611064314842224,0.7832,0.6104,0.1282,0.5318384804614844,0.0,0.2955165258730087,0.5339556172696649,0.0004457130122485364,0.45889583454318716,0.4312291233524286,0.2401472548459807,0.1854298434401917,0.09350763115824894
bert-small_8_2,0.16435282,0.019883962,0.9287588867187501,1.0312338686873321,0.09417349100112915,0.09228929,0.004636893,0.9652820312500001,1.0114591570001317,0.11422659456729889,0.8131,0.6822,0.1202,0.5217156522409936,0.0036514181388053175,-0.23111185935279824,0.5427670206656552,0.0010542827020494226,0.5368241257915554,0.513449730878299,0.2899649941852699,0.193884049779542,0.10096661640660105
bert-small_20_2,0.21475166,0.0113683045,0.8845041992187499,1.0103201975656235,0.07215139269828796,0.1473774,0.0040839836,0.9105573242187499,1.0072553296587712,0.09580129384994507,0.7511,0.5559,0.19,0.5078642632449621,0.0,0.03558380804003184,0.49187002322850504,0.0,-0.06056110086143692,0.17486332794365497,0.1130128569219977,0.12592129785421285,0.06575751256610082
bert-small_20_3,0.19816595,0.013552337,0.8794734375,1.0107800274931222,0.07415518164634705,0.13628876,0.0063106143,0.907991796875,1.0076210364343214,0.09829580783843994,0.7506,0.5543,0.1916,0.5174042359878972,8.571404081702625e-06,0.18746317420027592,0.5037928463061534,0.0,0.0662394391112525,0.18224051588259016,0.11967883256322702,0.13188033926287218,0.0673020871871428
bert-small_13_1,0.15699187,0.025306072,0.92817314453125,1.0247234789834898,0.08765077590942383,0.096066184,0.008158259,0.9562087890625,1.0074802087655828,0.1037462055683136,0.7693,0.5859,0.1657,0.509167116665381,0.0011057111265396385,-0.3231506403315211,0.5084471187225179,0.0,0.17981611227263344,0.40752000047819015,0.24775877908294927,0.12956281807887876,0.06741556377811911
bert-small_13_2,0.18260165,0.021232817,0.91470185546875,1.0198612333310555,0.08234122395515442,0.11540707,0.0067381943,0.9455306640625,1.0067376673107236,0.10313954949378967,0.755,0.5563,0.1766,0.5064328387633178,0.000274284930614484,-0.09122637342308808,0.5076328353347562,0.0,0.08328814174024078,0.32890880874690565,0.20192363062539975,0.11763029944651425,0.06019439551773882
bert-small_20_1,0.19795357,0.012255354,0.8932767578125,1.0102038174306538,0.07858261466026306,0.13422221,0.0093755545,0.9179789062499999,1.0066845898017793,0.10167363286018372,0.7534,0.5604,0.1873,0.5138128176776637,0.0002228565061242682,0.04856841360651539,0.49967857234693613,0.0,0.011306073928467997,0.1729614301006231,0.11210187105315107,0.11673435422217655,0.06047786943163441
bert-small_30_2,0.23418319,0.0053381766,0.8714044921875,1.004215754472695,0.0700887143611908,0.16608639,0.0034139273,0.88229501953125,1.0061103927890322,0.0894075334072113,0.7828,0.6363,0.1662,0.5135042471307225,8.571404081702625e-06,0.1422149897074822,0.4875500355713269,0.0,-0.1660238327814373,0.07664421900735896,0.04917014989651484,0.10732781827459466,0.05837393554014654
bert-small_8_3,0.15199792,0.022540556,0.9353166015625001,1.0283475715151762,0.0925871729850769,0.08418144,0.005869609,0.9653056640625,1.0121059924875973,0.11512404680252075,0.823,0.7079,0.1125,0.5101013997102866,0.0017828520489941457,-0.28617086741456227,0.5066899808857689,0.0016371381796052012,-0.035074079019835676,0.46680560939102944,0.26184290960375806,0.20430715772779476,0.10645605480898755
bert-small_9_1,0.15775168,0.022392299,0.93100732421875,1.0293887731409543,0.09665575623512268,0.09052894,0.0033458613,0.96315263671875,1.0107742763423126,0.11601030826568604,0.8036,0.6602,0.1309,0.5316413381676053,0.0014228530775626355,0.24028803190305043,0.5336041897023152,0.0009599972571506938,0.43573886054268324,0.48353010272449704,0.27595455395635526,0.18283180312489988,0.09465461395142827
bert-small_40_2,0.19519198,0.0045390795,0.8680865234374999,1.002827107518036,0.07215568423271179,0.14048173,0.0036289212,0.8722623046875,1.0044402480143628,0.0850406289100647,0.813,0.7154,0.1396,0.5175928068776946,0.0,0.25377215326443775,0.4952557278407776,0.0,-0.09553681978236124,0.05432238825168778,0.0333467192868379,0.0803386770140572,0.04646414648973753
bert-small_40_3,0.18965109,0.006946087,0.89418017578125,1.0049133658332776,0.07191425561904907,0.13046296,0.0071111806,0.9041771484375,1.0052695498550803,0.09703472256660461,0.8284,0.7602,0.1289,0.5126899637429607,0.0,0.16048835935979217,0.4877814634815329,0.0,-0.14135665074767773,0.08784031838111392,0.05603729282713657,0.09379133461796874,0.0508876897251552
bert-small_9_2,0.23498258,0.025540126,0.9353246093750001,1.025586165710987,0.08142867684364319,0.13822636,0.0041755866,0.9631686523437499,1.0108924062142224,0.12200689315795898,0.779,0.6017,0.1393,0.49709857971834365,0.0013371390367456094,-0.5112834363100358,0.5073585504041417,0.0006085696898008863,0.028694039955071336,0.42181013497247355,0.24256541516125207,0.18468523426748418,0.09676270255924892
bert-small_15_2,0.22646922,0.02077004,0.904200390625,1.0146032808785819,0.07699242234230042,0.1483689,0.008501019,0.93317978515625,1.0073963706813929,0.09925404191017151,0.7451,0.5378,0.1836,0.5054214130816769,0.000137142465307242,-0.10310918518326835,0.4979214345101871,0.0,-0.031308858589775175,0.2439070886543832,0.1548585658993895,0.12823916072496347,0.06620755662121959
bert-small_15_3,0.25067943,0.012404194,0.9091443359375,1.0121976511964854,0.07142743468284607,0.16505952,0.0043675243,0.9326337890625,1.0068412274046652,0.09813925623893738,0.7413,0.5309,0.1883,0.5073071219796514,0.0,0.001113753812093115,0.4981357196122297,0.0,-0.007545263283222622,0.20523037248130563,0.12608825222813694,0.11928088551527537,0.06143449044777234
bert-small_40_1,0.17504656,0.0038521627,0.86750927734375,1.001957304292429,0.07637318968772888,0.12645128,0.004311119,0.8682485351562501,1.0030616427982406,0.08291849493980408,0.8264,0.7562,0.1309,0.5176270924940214,0.0,0.2784084151129931,0.5041957022979935,0.0,0.01814169648859711,0.04033182653095192,0.02508435817001075,0.058126720219856445,0.03328608287993122
bert-small_15_1,0.24267574,0.012218405,0.8858343750000001,1.0099425394461221,0.07112038135528564,0.16546668,0.0049434365,0.9109666015625,1.0071475389277804,0.09676441550254822,0.734,0.5178,0.2006,0.5080528341347597,1.714280816340525e-05,0.015847496462433035,0.498298576289782,0.0,-0.017749713870084526,0.1688321227102467,0.1064519075145597,0.12425726662413361,0.06291982294701504
