,p-error,p-centroids,p-point_dist,p-patchiness,p-iqr,a-error,a-centroids,a-point_dist,a-patchiness,a-iqr,EEE,VRM,IsoScore,p-under_mu,p-under_mu2,p-skew,a-under_mu,a-under_mu2,a-skew,p-count_var,p-count_kl,a-count_var,a-count_kl,glue_average,model
chin,0.19625138,0.008293391,0.8940488281250001,1.0129163158245185,0.0825776755809784,0.12683082,0.0019096797,0.90724189453125,1.0219471519257894,0.09311296045780182,0.7995,0.6538,0.0574,0.5725869354658987,0.0,1.0970090393863645,0.5882040337027609,0.0,1.2708929685820636,0.21708377516916455,0.1234128228928179,0.36563758372054506,0.15774515664207675,0.684,chin
germ,0.16993152,0.014297039,0.7994251953125,1.0111751970880682,0.12284047901630402,0.11645493,0.008946324,0.7496784848484849,1.0773924669643529,0.13713647425174713,0.8766,0.5105,0.0048,0.4978271490652884,0.014657100979711487,-0.8948199258220294,0.5525469927228779,0.01593424018788518,-0.5341839654716352,0.18982289486087178,0.09299889825058176,1.3042739060624515,0.47532287214557645,0.703,germ
shuffle_index,0.15975896,0.0018852552,0.79555849609375,1.0170554023113374,0.07025906443595886,0.110724464,0.0012229783,0.8363077148437499,1.0321327738527646,0.0664951503276825,0.8358,0.7408,0.0108,0.5649669572372651,0.0001799994857157551,1.5138709118519393,0.5669812371964652,0.00036857037551321284,1.7353855917539367,0.2840681667694271,0.16868258216428805,0.5341542714723356,0.23648364848426862,0.681,shuffle_index
untrained,0.3357495,0.048128415,0.5248582600195504,1.03848156650451,0.07929426431655884,0.26341,0.057832383,0.5855052114060963,1.0498594728184218,0.12766394019126892,0.6412,0.3535,0.2056,0.3691532309907686,0.0,-0.7728670916216941,0.5852983277190636,0.0,0.4419786627961742,0.6345430762974595,0.2904526501630238,0.826094584402392,0.36151018512709243,0.557,untrained
fc,0.19499338,0.015896758,0.8716134577603144,1.0164728383673967,0.12231867015361786,0.10953757,0.010706775,0.8769583984375,1.0419251886070093,0.09756872802972794,0.906,0.9021,0.0327,0.5098055426946226,0.049895826443547855,0.352631118567796,0.5273083537270984,0.021132350023149678,0.6125469209178923,0.27472823095700394,0.14640597717264728,0.7123583346784639,0.24647833102881617,0.767,fc
mlm,0.4781052,0.014777004,0.7549787878787879,1.036192039843478,0.2487662434577942,0.36536542,0.008253643,0.74201943359375,1.0786882279323806,0.18255814909934998,0.6643,0.3342,0.0969,0.42983993650373703,0.024067398637476024,-0.47912060299366815,0.4932039156028838,0.004249619683841524,-0.08908308025232337,0.6089130616225433,0.21713603261315073,1.4060969975759965,0.3560225013356381,0.798,mlm
asci,0.29022762,0.011104168,0.7884925668979187,1.0458478854862563,0.1279064528644085,0.1691187,0.010751646,0.8355973555337904,1.0642845680917499,0.10976802185177803,0.8701,0.7959,0.0113,0.5663734373966532,0.11158972154243005,1.2220417040922142,0.5807758449632913,0.10368575964018785,1.471633631272141,0.7569021040118581,0.33270206186729284,1.0681648708279277,0.4336929858473569,0.752,asci
rand,0.0205089,0.013300515,0.84663876953125,1.068994523148522,0.10464144311845303,0.011135608,0.002181403,0.8520380254154448,1.107522145585144,0.1081000966951251,0.9177,0.7328,0.0151,0.6061247436999802,0.3375719293604074,1.3322513809398648,0.6039833983729083,0.30588993981083407,1.41236793780156,1.147432328377254,0.3959775886483361,1.810315684413516,0.5321814859703387,0.564,rand
roberta_sinha,0.13562854,0.004528119,0.6454228215767635,1.0686778471168874,0.1249684989452362,0.10767367,0.004767581,0.67935478515625,1.0473769388269207,0.13167588412761688,0.6634,0.3744,0.1225,0.5562371849990079,0.041041074145115417,0.5295708487989724,0.5600072756134665,0.03950327402605992,0.5806846976890255,1.1501588403316796,0.43050456568613343,0.7912121970474733,0.29721045266711643,0.841,roberta_sinha
shuffle_corp,0.07468162,0.0027577695,0.6330042769857435,1.0538134078655608,0.1189354956150055,0.059431497,0.0058467626,0.6646591796875001,1.0414771747352172,0.11806344240903854,0.6235,0.2961,0.0646,0.48059560817514385,0.08738177128116939,0.15775019311283303,0.49759408691050994,0.08643098088497916,0.27412587811344974,0.8892107845223609,0.3878322594708899,0.6866848048876018,0.29607359547001716,0.623,shuffle_corp
shuffle_sent,0.1250981,0.01981217,0.7219113796576032,1.0424951570135255,0.13824068754911423,0.09612973,0.0108926445,0.7432386718749999,1.0390465907543787,0.12377522140741348,0.7818,0.5512,0.0397,0.5320375024803228,0.05178913949335273,0.33926224607920347,0.5399249288974138,0.04541470996759045,0.46967861543631045,0.7085390277976564,0.29665893653872455,0.6468624470391144,0.2738516644894139,0.776,shuffle_sent
bert-small,0.49867302,0.013339018,0.755354296875,1.0125120648773842,0.15628975629806519,0.3640281,0.020705447,0.726925219941349,1.0243964380441344,0.15116676688194275,0.5647,0.2521,0.2171,0.42944448730146484,0.012951391567452664,-0.8967011120645697,0.4753957845834726,0.007217122236793609,-0.3939128265049435,0.2110831187065277,0.10751069639694558,0.4050869071689503,0.19280192100031218,0.78,bert-small
untrained_w_emb,0.24082685,0.060481053,0.7930662109375,1.0405174356872817,0.2838822454214096,0.12543455,0.022467151,0.8165524043179588,1.1079881502214233,0.40622030198574066,0.7972,0.5704,0.0725,0.48803003419990226,0.06867408950260143,-0.5280628179075958,0.5993211447967292,0.08389690315170528,0.5698094025760589,0.6708423953324183,0.2861952049389158,1.80664988789867,0.5850504355466146,0.557,untrained_w_emb
