,p-error,p-iqr,p-under_mu,p-under_mu2,p-skew,p-count_var,p-count_kl,p-patchiness,p-centroids,p-point_dist,a-error,a-iqr,a-under_mu,a-under_mu2,a-skew,a-count_var,a-count_kl,a-centroids,a-point_dist,a-patchiness,EEE,VRM,IsoScore,alpha,new_average
bert-small_100_3,0.16167092,0.0716819465160369,0.522684220902226,0.0,0.3582535401744128,0.0229828937238011,0.0135545299160517,1.0008781691691282,0.0048802467,0.8567003906249999,0.122383505,0.0770475268363952,0.5129899628858203,0.0,0.1792587351274446,0.0283797788755455,0.0168263945197708,0.0023268422,0.85571201171875,1.0012138430060913,0.841,0.8039,0.1213,100.0,0.3651576035819785
bert-small_35_1,0.23339027,0.0720394849777221,0.5178156633838189,0.0,0.2367394262790507,0.0776609944381365,0.0493933913998431,1.004281044287365,0.0070610926,0.86454541015625,0.16726455,0.087567925453186,0.494492872877506,0.0,-0.1022871050301583,0.0898487489611243,0.0495516143602239,0.006764108,0.8728524414062501,1.0050276788453656,0.7962,0.671,0.1528,35.0,0.3985114256331904
bert-small_19_2,0.21565898,0.0700635910034179,0.5058156976694352,0.0,-0.039620971877787,0.171301958011756,0.1112880448284294,1.0101001215660597,0.0076122917,0.87780751953125,0.14969963,0.091105431318283,0.4989757172122365,0.0003171419510229,-0.078087674467587,0.1205269028493216,0.0619045183751262,0.005262264,0.90428837890625,1.0069200243421514,0.7444,0.5416,0.1972,19.0,0.4176615461921993
bert-small_100_2,0.20255816,0.0777778625488281,0.5173013791389167,3.42856163268105e-05,0.2372853729725269,0.0351658149072736,0.0227837033381502,1.001636993698288,0.0040205424,0.8650408203125,0.1470261,0.0814987123012542,0.505824269073517,0.0,0.0403242576328513,0.0408257907672209,0.0228692572175586,0.0020533171,0.86604072265625,1.001986212274179,0.8368,0.785,0.1168,100.0,0.3737528464981962
bert-small_100_1,0.20750242,0.076633334159851,0.5225213642246737,0.0,0.3312813030991486,0.0253668940524939,0.013898492680072,1.0010252728509834,0.00896567,0.8609691406250001,0.15433338,0.082088828086853,0.5126899637429607,0.0,0.133270017482119,0.0358198977028633,0.0205262757350969,0.002350916,0.85917275390625,1.001675862896586,0.8388,0.7888,0.1196,100.0,0.3584606453400337
bert-small_35_3,0.21754172,0.0696602165699005,0.5169670943797303,0.0,0.2441701938427142,0.0605838062263365,0.0399424114453416,1.0032192983871462,0.0072991764,0.8568586914062499,0.15879849,0.0816016793251037,0.4921271653509561,0.0,-0.1359299636807401,0.0796149170544201,0.0455052773699263,0.004424912,0.8636353515624999,1.004393589342209,0.793,0.6628,0.1599,35.0,0.3910594901522467
bert-small_19_1,0.17980851,0.0743907690048217,0.5179699486572895,0.0,0.180875027007081,0.1767224464957297,0.1156083487384738,1.0104388329040328,0.015560294,0.8806500976562499,0.123965606,0.0949980914592742,0.4985214327959062,0.0,0.0011882608037917,0.1293761294795607,0.0663362014411729,0.010598777,0.90701806640625,1.007466517088719,0.7524,0.558,0.1875,19.0,0.4080953516398557
bert-small_19_3,0.20985988,0.0702472627162933,0.5130756769266374,9.428544489872886e-05,0.0662135336823983,0.1779614352861643,0.1180992272245836,1.0105154951271869,0.017064538,0.8782628906250001,0.14457498,0.095262587070465,0.4968242947877291,0.0,-0.0584495475549415,0.1211862984348671,0.0619201058936881,0.009246894,0.90666630859375,1.006959435447557,0.7525,0.5577,0.1873,19.0,0.4201859396887727
bert-small_35_2,0.20326298,0.0693961679935455,0.5144042445593012,0.0,0.2346967875137238,0.0447501356995927,0.027258097845132,1.0022324608588788,0.0032856767,0.85846259765625,0.14898694,0.0849316120147705,0.4937300179142345,0.0,-0.1065294908033288,0.0690493377406565,0.0392885574354817,0.0045574107,0.86141923828125,1.0037395339123267,0.8016,0.6879,0.1542,35.0,0.4003894698485002
bert-small_3_2,0.20065828,0.0911812782287597,0.5341784737757892,0.0,0.452410973681832,0.1446888152385212,0.081848045935867,1.0084288782833817,0.008849811,0.82535283203125,0.133058,0.1057534217834472,0.5234385044614158,0.0,0.3576113643302513,0.2182551264771337,0.1057953162171134,0.00553086,0.8347349609375,1.0129396013730907,0.7644,0.5696,0.1095,3.0,0.6470352419326574
bert-small_1_3,0.4480212,0.1614104509353637,0.4399187430893054,0.0080828340490455,-0.6745724521934869,0.2244496678459905,0.1072140520477754,1.013306550068075,0.0076030185,0.7488225048923679,0.32914045,0.1554025709629058,0.4897014579958343,0.0035057042694163,-0.2139654500421596,0.4737975938638299,0.1942577221430516,0.012107831,0.72290166015625,1.028259044347577,0.5891,0.2757,0.2071,1.0,0.7214485247864968
bert-small_4_3,0.13675849,0.093715026974678,0.555195556584124,0.0002057136979608,0.779492582730441,0.327111579566685,0.1819983039468407,1.0197075368378938,0.018731065,0.90873095703125,0.07621831,0.1004946827888488,0.5671698080862626,0.0003599989714315,1.0063333481400132,0.1449976242491209,0.0736283174561895,0.003724006,0.9421482421875,1.0084309342389803,0.8254,0.7117,0.0872,4.0,0.6156278622027267
bert-small_2_2,0.27961472,0.1141254007816314,0.4804614843957588,0.0,0.0210359488905513,0.1832673573204532,0.0936319406992137,1.0107941370614757,0.013044342,0.7548260742187499,0.19933501,0.1210079193115234,0.5158785260613541,0.0,0.3176545803423671,0.2849737670707289,0.1312127538440964,0.024084164,0.74316513671875,1.016974211461,0.6628,0.3941,0.1664,2.0,0.7052801268634952
bert-small_3_1,0.11154574,0.082206517457962,0.5556326981922909,1.714280816340525e-05,0.919913089225124,0.2033132414847124,0.1164310492569715,1.012063565040244,0.00873412,0.8451179687499999,0.07159806,0.0908461064100265,0.5417984520044229,0.0,0.7302020013635785,0.2689721047417674,0.1253019412474823,0.00839931,0.8645306640625,1.016048842185567,0.7867,0.6194,0.0975,3.0,0.6534248119017035
bert-small_1_1,0.45136082,0.1565731465816497,0.4488415747383579,0.0032828477632921,-0.5292946429551545,0.1891760930813247,0.0945210792166964,1.011146452501303,0.015719846,0.7493350585937499,0.33240718,0.1480089724063873,0.4921443081591195,0.00120856797552,-0.1076951686725919,0.4473322728580967,0.1971713773773773,0.023247998,0.71757890625,1.026867308757506,0.5827,0.264,0.2275,1.0,0.722939300081014
bert-small_2_3,0.22803389,0.1142661273479461,0.4957528692775163,0.0,0.13654164263687,0.1865154251626125,0.0995161148352178,1.011002295806689,0.011695849,0.7647856445312501,0.15844704,0.1211360991001129,0.5241756452124422,0.0,0.3963205167852522,0.4070538672196947,0.1541505075579934,0.01683498,0.75846943359375,1.0240717592790365,0.6904,0.4366,0.1509,2.0,0.6917510216987142
bert-small_4_1,0.15285373,0.0828846395015716,0.5481155768126377,0.0007714263673532,0.5985631936079128,0.2528454981303222,0.1441180764910954,1.015129595520045,0.012565844,0.9169080078125,0.0843482,0.0915084183216095,0.5625241070739798,0.0004114273959217,0.9010721558214884,0.1611118231920434,0.0829800504526534,0.0029512881,0.94411201171875,1.009430415482753,0.8245,0.709,0.0846,4.0,0.6188884107269883
bert-small_3_3,0.13364214,0.0937376916408538,0.5436841609023975,0.0,0.6688103264102762,0.1870895592692601,0.1049698685599302,1.0110578019058376,0.008648025,0.82448017578125,0.08794199,0.1020430922508239,0.5330127628206777,0.0,0.5178969560617208,0.2406733884666377,0.1161751705542153,0.0039482517,0.84142705078125,1.0143153089731176,0.7742,0.5891,0.0918,3.0,0.6542447322908795
bert-small_1_2,0.46350932,0.1464717388153076,0.4478815774812072,0.0006857123265362,-0.5449831113222866,0.2591373678582407,0.1246948850615957,1.0154287670349809,0.007279736,0.7448127077223852,0.3381604,0.1467621326446533,0.4957185836611895,0.0007714263673532,-0.0904015313414378,0.4217734481456761,0.1867267016173572,0.01792232,0.7205319335937499,1.025285611216199,0.5797,0.2735,0.2237,1.0,0.729460614171166
bert-small_2_1,0.26408443,0.1079251170158386,0.4970642941020168,0.0,0.2101560989915728,0.1721346375506044,0.0924775115142304,1.0101148576777714,0.009850357,0.75372919921875,0.18887319,0.1096240431070327,0.5235413613103963,8.571404081702625e-06,0.4912110749556198,0.3429635968477802,0.1322829306082049,0.012695946,0.7456320312500001,1.0201242539995068,0.6623,0.3936,0.182,2.0,0.6927921579234679
bert-small_4_2,0.12416453,0.1067157387733459,0.551132711049397,0.0010028542775592,0.6004919500142277,0.3005757761934791,0.1675593158785414,1.018070635889586,0.012970431,0.9185654296875,0.06801383,0.1081382632255554,0.563209819400516,1.714280816340525e-05,0.917543888809074,0.1605070351686134,0.0814551887542938,0.0033834376,0.94343056640625,1.0093897483518717,0.8379,0.7394,0.0766,4.0,0.6029278323868498
bert-small_5_3,0.17739195,0.1083302795886993,0.5436241610738255,0.0010028542775592,0.521222446798144,0.4170403207914711,0.2384077503711692,1.0252730315656338,0.020783236,0.91814423828125,0.0952089,0.1189734190702438,0.5559669829514773,0.0006085696898008,0.7869791618347007,0.1824946831948916,0.0950183437166096,0.0042134426,0.957491796875,1.0107510131283066,0.8322,0.7271,0.0855,5.0,0.5789692669418549
bert-small_10_1,0.19254108,0.0916180908679962,0.5069985514327102,0.0001457138693889,-0.0286497908713317,0.3879690205211615,0.2303879719962262,1.0235074035814815,0.026901815,0.92931328125,0.114542656,0.1200161576271057,0.5092014022817077,0.0,0.1560059298787755,0.1455023107889676,0.075783639215762,0.0060589043,0.95893076171875,1.0084652060431412,0.7802,0.606,0.1466,10.0,0.48067279914720173
bert-small_5_1,0.15170807,0.100488394498825,0.5561726966494381,0.0015942811591966,0.5747417493211764,0.3096293755803933,0.1716407299320638,1.018632072224231,0.017274141,0.9384833984375,0.08014572,0.1100794970989227,0.5786812037679893,0.0012257107836834,0.9035086294569188,0.2044350432442928,0.1049247054557192,0.003440158,0.959333431085044,1.0121005052373204,0.8452,0.7639,0.0785,5.0,0.5803916562803764
bert-small_6_3,0.18796124,0.1003591120243072,0.5265670669512372,0.0026314210530827,0.0406739570602001,0.4241949495988751,0.2376044166517408,1.0257109307123289,0.02065865,0.92829482421875,0.10325489,0.1136664897203445,0.5449013002819992,0.0011828537632749,0.481631320917668,0.208736122687946,0.1070380766222761,0.0049889293,0.9608658203125,1.0123716909529914,0.8187,0.6936,0.0998,6.0,0.5392574512298369
bert-small_7_1,0.14549433,0.0963165760040283,0.5343241876451782,0.003342847591864,0.0875139174036202,0.5545324187935154,0.3042898859422291,1.0337317442423086,0.018709544,0.92330576171875,0.078104384,0.1174017935991287,0.5417898806003412,0.0038828460490112,0.2130548967310511,0.2489100837641331,0.1290008176384735,0.006117952,0.96246767578125,1.0148520656120548,0.8367,0.7433,0.0963,7.0,0.5218036769506398
bert-small_5_2,0.13288428,0.0968172401189804,0.5387898891717452,0.0011742823591932,0.4679661644887192,0.3372050072487725,0.1843435310463015,1.02033234515327,0.013894078,0.93862392578125,0.07118813,0.100715696811676,0.5598498290004885,0.0011057111265396,0.78288488737129,0.2189821665341609,0.1111834938499865,0.008230275,0.957157421875,1.012994404521154,0.8416,0.7488,0.0739,5.0,0.5824684169478846
bert-small_7_2,0.2340487,0.0948752164840698,0.5182528049919858,0.0010028542775592,-0.0547804520699575,0.4328208756233554,0.2472112384713252,1.026258196352439,0.01949219,0.92875751953125,0.13402289,0.1201750636100769,0.5144213873674647,0.0022628506775694,0.1377860095166503,0.2016259382600604,0.1034486324390032,0.004551066,0.9611763671875,1.0119304880537463,0.7922,0.6303,0.1239,7.0,0.5216908996257212
bert-small_10_3,0.1587192,0.0971147119998931,0.5050956997265722,0.0035228470775797,-0.5594821567621723,0.5320217531766616,0.3014598000316901,1.0323738496343704,0.030601602,0.9306513196480938,0.09054328,0.1189428865909576,0.5188528032777049,0.0005828554775557,0.3055830435377177,0.2074662289741343,0.1064794565158024,0.008473573,0.9661080078125,1.0122990859801226,0.8083,0.671,0.1286,10.0,0.4829714608116491
