model,p-error,p-centroids,p-point_dist,p-patchiness,p-iqr,a-error,a-centroids,a-point_dist,a-patchiness,a-iqr,EEE,VRM,IsoScore,p-under_mu,p-under_mu2,p-skew,a-under_mu,a-under_mu2,a-skew,p-count_var,p-count_kl,a-count_var,a-count_kl,average,alpha
roberta-base_5_1,0.023773855,0.014517539,0.95966279296875,1.0200901225719659,0.11534008383750916,0.010373489,0.01225883,0.9448369,1.0384487518691201,0.11726361513137817,0.9428,1.1434,0.0275,0.5258780342615252,0.0031500099212910908,0.08542382958976365,0.5128480719624314,0.019693762815000994,-0.8054207030994545,0.3329342357978911,0.18496213837330838,0.6340717634192379,0.32402141368977705,0.5394762617861342,5.0
roberta-base_10_1,0.06207337,0.025291394,0.9186386718749999,1.0305139506691368,0.10163712501525879,0.031636465,0.011572385,0.9550298331697742,1.0234324599047788,0.11702284216880798,0.8981,0.9307,0.0521,0.5119468880216945,0.0040511938620279115,-0.4492379694633945,0.5073748263774059,0.008896091011310272,-0.6820293212845653,0.5020328476572282,0.27740842579575814,0.38742073615693196,0.20548661445330935,0.4341085488600399,10.0
roberta-base_18_1,0.06473017,0.016836314,0.9477138671875001,1.0275211962848991,0.09995758533477783,0.03286312,0.010510264,0.9478632713026444,1.0269152766778973,0.12657451629638672,0.8977,0.928,0.0498,0.5136665784774125,0.000694490376347642,0.010035628029288778,0.49136020900853233,0.012236259011839407,-1.1863793333500563,0.453429458856199,0.24258171835988773,0.4440160986227673,0.23503577367076373,0.37706212068524836,18.0
roberta-base_1_1,0.06064348,0.005871908,0.8165693059628544,1.0104871578897368,0.10798275470733643,0.040417522,0.005775312,0.82419501953125,1.0268646016882157,0.10261998325586319,0.8452,0.6538,0.0263,0.49701534493022026,0.06886202791189894,-0.35958856800355743,0.48747436999801574,0.0627769693762815,-0.411702038875866,0.1777966397530174,0.09561060419140735,0.453703433028378,0.1704477419900415,0.7836068644822545,1.0
roberta-base_3_1,0.0034315723,0.006315686,0.97541337890625,1.0143887728183407,0.08618631213903427,0.00126859,0.008105319,0.9504848648648648,1.0478290873902676,0.08342455327510834,0.9735,1.3815,0.0137,0.5673821019908725,0.0004381903565050599,1.2398991375817887,0.51975163701303,0.01436106885376017,0.1966669237706587,0.24075569128842672,0.1361279368488443,0.7880180167149538,0.39828021623734344,0.5488772480076479,3.0
roberta-base_2_1,0.036394697,0.012323767,0.97249052734375,1.0156013694120303,0.10405687242746353,0.0149544645,0.010416061,0.9416133678756476,1.0430149907127642,0.10245579481124878,0.9445,1.1478,0.0221,0.537287519015808,0.0016287452873867318,0.4665982623263276,0.5148075269528408,0.023984721211720354,-0.7732132693202642,0.2603821827610446,0.14288416845045504,0.7063244121499445,0.3763668363732125,0.6130311490706752,2.0
roberta-base_4_1,0.016156493,0.013650483,0.9728650390625,1.0157658564212593,0.0942130759358406,0.0063706003,0.0113395145,0.9459284671532847,1.0423180871114688,0.09501636773347855,0.9581,1.2385,0.0188,0.529358753885839,0.0010748065348237317,0.3427383039474002,0.48608538924532046,0.024786692241550366,-1.191007358478546,0.2630603139331174,0.14450030460795182,0.6945139271587297,0.38058428802838895,0.527387047139785,4.0
roberta-base_6_1,0.011447881,0.017548382,0.940996484375,1.0273836539466092,0.10661295056343079,0.004745018,0.011632327,0.9256402217741936,1.0328317769466977,0.11369635909795761,0.9526,1.2177,0.0273,0.5389658707586481,0.002215755010252001,0.4724386240315281,0.5059197036841061,0.01633705932932072,-0.6196523664645422,0.4512710451586118,0.24186558850091777,0.5398286842056259,0.30006200705383435,0.5249144212721729,6.0
roberta-base_7_1,0.03940584,0.010407008,0.93873369140625,1.0253433682244502,0.1068008542060852,0.01869818,0.0075508803,0.940185657370518,1.0344427634577007,0.11208321154117584,0.9251,1.048,0.0353,0.529548911965077,0.0028441034459951056,0.13299598481468067,0.5087968781004034,0.016122098022355976,-0.6986834840425277,0.4182255010854092,0.2295025407603079,0.5664998440695795,0.29726346603045617,0.509247499291474,7.0
roberta-base_8_1,0.033618473,0.014174134,0.9389377929687501,1.0266420239305207,0.10777777433395386,0.01547461,0.017300924,0.9370434223541048,1.0301288611046853,0.11362822353839874,0.9284,1.0706,0.0415,0.5208512467755804,0.000983861366492493,0.09909724450687275,0.5075980554269462,0.014774455982538529,-1.0394233030938418,0.43919138209588227,0.2388661647575619,0.4965453696799587,0.2607350111372636,0.489325211414221,8.0
roberta-base_9_1,0.09560532,0.0168058,0.9442845703125,1.029800267690026,0.09364479780197144,0.04885884,0.009811889,0.945239233038348,1.0310032004470338,0.11456143856048584,0.892,0.9022,0.049,0.506093326278193,0.001388980752695284,-0.23807914176061573,0.4983133805145843,0.010177591110523182,-1.1322831693114261,0.4905478542952298,0.26300584604577676,0.5109907901410022,0.2606893831869801,0.4630033599890172,9.0
roberta-base_15_1,0.12429102,0.017376076,0.94450810546875,1.0319369199972697,0.09456539154052734,0.06852787,0.0077194385,0.9645016617790811,1.0258547220054324,0.12039870023727417,0.8594,0.7957,0.066,0.4884168926516304,0.0022405582379787024,-0.7122264619714395,0.48507672465110124,0.0077138038230041665,-1.0078387665179191,0.5253256247700908,0.2751927404298513,0.4271253267396843,0.21639685451030885,0.3655132010907258,15.0
roberta-base_20_1,0.094962515,0.013227634,0.93965693359375,1.0252764656230928,0.0870707631111145,0.04953354,0.012866806,0.9559189823874755,1.0277665134790333,0.1032537966966629,0.8879,0.893,0.0538,0.5026374098816059,0.0014633904358753885,-0.4865577499942149,0.4884664991070838,0.00852404259540975,-1.196593579234068,0.4168155341932823,0.23186031744320715,0.4581306307557155,0.23594993023169514,0.3641073174027648,20.0
roberta-base_25_1,0.073764466,0.015481691,0.945133984375,1.025830755996694,0.0990721583366394,0.03593552,0.012682716,0.9433650294695481,1.02598179555188,0.1181456595659256,0.9061,0.9655,0.0445,0.5084496329122297,0.0013476420398174482,-0.27870169322168087,0.48442357298763145,0.013137442952576229,-1.586022146984013,0.425941791768766,0.2325279087009267,0.42866970898744416,0.23117154082956437,0.3667669413625446,25.0
roberta-base_40_1,0.07698869,0.009700814,0.96762666015625,1.0170327081958228,0.09048964083194733,0.034293436,0.008926043,0.9512219488188977,1.0210797039323298,0.11146795749664307,0.9275,1.0678,0.0359,0.507259077981348,0.0,0.07256362314987795,0.48855744427541503,0.010764600833388451,-1.3412288542391482,0.2835900313269002,0.15203256209895818,0.3489864460611987,0.19461740719761997,0.2970001593644931,40.0
